,X,file_name,plot,block,treatment,year,month,day,plot_type,nphoto,GCC_mean,EGI_mean,ERI_mean,ExGmR,Date,pixel_length,pixel_width,DoY
63,142,C23_01_05012025.jpeg,23,6,Deluge,2025,5,1,C,1,0.345376395,0.032508683,0.155676696,-0.123168013,5/1/25,454,471,121
64,143,C24_01_05012025.jpeg,24,6,Control,2025,5,1,C,1,0.341162356,0.022580508,0.170457165,-0.147876657,5/1/25,544,571,121
65,144,C25_01_05012025.jpeg,25,7,Drought,2025,5,1,C,1,0.339562059,0.018348882,0.182318285,-0.163969404,5/1/25,457,475,121
66,145,C26_01_05012025.jpeg,26,7,Drought-Deluge,2025,5,1,C,1,0.340675937,0.022060058,0.184022702,-0.161962644,5/1/25,473,471,121
67,146,C27_01_05012025.jpeg,27,7,Control,2025,5,1,C,1,0.34654799,0.038114743,0.171812449,-0.133697706,5/1/25,443,423,121
68,147,C28_01_05012025.jpeg,28,7,Deluge,2025,5,1,C,1,0.345374244,0.034515373,0.167842441,-0.133327067,5/1/25,464,438,121
69,148,C29_01_05012025.jpeg,29,8,Drought-Deluge,2025,5,1,C,1,0.340162507,0.023074106,0.197503671,-0.174429565,5/1/25,441,457,121
70,149,C30_01_05012025.jpeg,30,8,Drought,2025,5,1,C,1,0.339820038,0.02069666,0.196451568,-0.175754907,5/1/25,469,484,121
71,150,C31_01_05012025.jpeg,31,8,Control,2025,5,1,C,1,0.344712867,0.031592364,0.164607278,-0.133014913,5/1/25,493,501,121
72,151,C32_01_05012025.jpeg,32,8,Deluge,2025,5,1,C,1,0.337619263,0.014896044,0.226262482,-0.211366439,5/1/25,457,472,121
73,152,C33_01_05012025.jpeg,33,9,Drought,2025,5,1,C,1,0.338259651,0.016613091,0.201846863,-0.185233773,5/1/25,410,427,121
74,153,C34_01_05012025.jpeg,34,9,Drought-Deluge,2025,5,1,C,1,0.337895107,0.014256237,0.194523483,-0.180267247,5/1/25,463,480,121
75,154,C35_01_05012025.jpeg,35,9,Deluge,2025,5,1,C,1,0.343537984,0.028547031,0.167065641,-0.138518609,5/1/25,464,447,121
76,155,C36_01_05012025.jpeg,36,9,Control,2025,5,1,C,1,0.34270461,0.02896588,0.171340477,-0.142374597,5/1/25,453,462,121
77,156,C37_01_05012025.jpeg,37,10,Deluge,2025,5,1,C,1,0.344169589,0.031800784,0.175063046,-0.143262262,5/1/25,429,455,121
78,157,C38_01_05012025.jpeg,38,10,Control,2025,5,1,C,1,0.341806348,0.024954733,0.167184874,-0.14223014,5/1/25,476,495,121
79,158,C39_01_05012025.jpeg,39,10,Drought-Deluge,2025,5,1,C,1,0.339402232,0.018141663,0.185081084,-0.166939421,5/1/25,489,489,121
80,159,C40_01_05012025.jpeg,40,10,Drought,2025,5,1,C,1,0.339397129,0.019594662,0.193183965,-0.173589303,5/1/25,478,481,121
81,200,C01_01_05072025.jpeg,1,1,Drought,2025,5,7,C,1,0.334077145,0.014517441,0.116593968,-0.102076527,5/7/25,2359,2347,127
82,201,C02_01_05072025.jpeg,2,1,Drought-Deluge,2025,5,7,C,1,0.328519311,0.01232224,0.133199172,-0.120876932,5/7/25,2443,2437,127
83,202,C03_01_05072025.jpeg,3,1,Control,2025,5,7,C,1,0.351442431,0.02158382,0.096018415,-0.074434595,5/7/25,2273,2261,127
84,203,C04_01_05072025.jpeg,4,1,Deluge,2025,5,7,C,1,0.352272871,0.02383141,0.100682001,-0.076850591,5/7/25,2272,2269,127
